Algorithm,DataType,ArraySize,Time_ms,CharComparisons
"Standard MergeSort","ReverseSorted",1000,0.92153,351754
"Standard QuickSort","ReverseSorted",1000,2.14233,35545867
"A1m MergeSort (Adapted)","AlmostSorted",1000,0.85823,571264
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1000,0.03477,21700
"A1r MSD RadixSort (Adapted)","AlmostSorted",1000,0.15462,2100
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1000,0.07777,4673
"Standard MergeSort","AlmostSorted",1000,0.91925,571264
"Standard QuickSort","AlmostSorted",1000,0.19728,2496195
"A1m MergeSort (Adapted)","CommonPrefix",1000,0.91362,675675
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1000,0.02734,15697
"A1r MSD RadixSort (Adapted)","CommonPrefix",1000,0.30129,7134
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1000,0.21167,9363
"Standard MergeSort","CommonPrefix",1000,0.97685,675675
"Standard QuickSort","CommonPrefix",1000,0.12598,772497
"A1m MergeSort (Adapted)","Random",1100,0.98013,688015
"A1q TernaryQuickSort (Adapted)","Random",1100,0.02720,12932
"A1r MSD RadixSort (Adapted)","Random",1100,0.19250,2338
"A1rq MSD+QuickSort (Adapted)","Random",1100,0.10425,4951
"Standard MergeSort","Random",1100,0.94449,688015
"Standard QuickSort","Random",1100,0.11867,874066
"A1m MergeSort (Adapted)","ReverseSorted",1100,0.93871,372429
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1100,0.05937,54597
"A1r MSD RadixSort (Adapted)","ReverseSorted",1100,0.19348,2363
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1100,0.10088,8438
"Standard MergeSort","ReverseSorted",1100,0.88508,372429
"Standard QuickSort","ReverseSorted",1100,2.46441,43880605
"A1m MergeSort (Adapted)","AlmostSorted",1100,0.87125,617200
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1100,0.04082,26751
"A1r MSD RadixSort (Adapted)","AlmostSorted",1100,0.14767,2329
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1100,0.08111,5421
"Standard MergeSort","AlmostSorted",1100,0.91355,617200
"Standard QuickSort","AlmostSorted",1100,0.16596,2042508
"A1m MergeSort (Adapted)","CommonPrefix",1100,1.00395,680900
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1100,0.02799,16933
"A1r MSD RadixSort (Adapted)","CommonPrefix",1100,0.31006,7822
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1100,0.23184,10411
"Standard MergeSort","CommonPrefix",1100,1.04987,680900
"Standard QuickSort","CommonPrefix",1100,0.11916,833193
"A1m MergeSort (Adapted)","Random",1200,1.11732,785674
"A1q TernaryQuickSort (Adapted)","Random",1200,0.03182,12295
"A1r MSD RadixSort (Adapted)","Random",1200,0.28324,2550
"A1rq MSD+QuickSort (Adapted)","Random",1200,0.10365,5534
"Standard MergeSort","Random",1200,1.15585,785674
"Standard QuickSort","Random",1200,0.13204,992040
"A1m MergeSort (Adapted)","ReverseSorted",1200,1.07463,451073
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1200,0.06888,61931
"A1r MSD RadixSort (Adapted)","ReverseSorted",1200,0.23756,2560
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1200,0.11498,9826
"Standard MergeSort","ReverseSorted",1200,1.00384,451073
"Standard QuickSort","ReverseSorted",1200,2.86563,55879802
"A1m MergeSort (Adapted)","AlmostSorted",1200,0.97052,740371
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1200,0.04086,28105
"A1r MSD RadixSort (Adapted)","AlmostSorted",1200,0.16483,2550
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1200,0.09182,6051
"Standard MergeSort","AlmostSorted",1200,1.03584,740371
"Standard QuickSort","AlmostSorted",1200,0.34626,5244247
"A1m MergeSort (Adapted)","CommonPrefix",1200,1.07186,790365
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1200,0.03533,18752
"A1r MSD RadixSort (Adapted)","CommonPrefix",1200,0.38920,8597
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1200,0.24334,11598
"Standard MergeSort","CommonPrefix",1200,1.15047,790365
"Standard QuickSort","CommonPrefix",1200,0.12767,1014235
"A1m MergeSort (Adapted)","Random",1300,1.22357,869269
"A1q TernaryQuickSort (Adapted)","Random",1300,0.03394,14696
"A1r MSD RadixSort (Adapted)","Random",1300,0.24368,2764
"A1rq MSD+QuickSort (Adapted)","Random",1300,0.14094,6142
"Standard MergeSort","Random",1300,1.19923,869269
"Standard QuickSort","Random",1300,0.13583,1072994
"A1m MergeSort (Adapted)","ReverseSorted",1300,1.10679,458137
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1300,0.07598,66799
"A1r MSD RadixSort (Adapted)","ReverseSorted",1300,0.28321,2785
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1300,0.12932,11148
"Standard MergeSort","ReverseSorted",1300,1.12182,458137
"Standard QuickSort","ReverseSorted",1300,3.39685,63430028
"A1m MergeSort (Adapted)","AlmostSorted",1300,1.17719,838251
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1300,0.05375,33525
"A1r MSD RadixSort (Adapted)","AlmostSorted",1300,0.20158,2788
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1300,0.10453,6829
"Standard MergeSort","AlmostSorted",1300,1.24848,838251
"Standard QuickSort","AlmostSorted",1300,0.29834,3856585
"A1m MergeSort (Adapted)","CommonPrefix",1300,1.15097,877247
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1300,0.04305,20137
"A1r MSD RadixSort (Adapted)","CommonPrefix",1300,0.39247,9296
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1300,0.24813,12666
"Standard MergeSort","CommonPrefix",1300,1.18773,877247
"Standard QuickSort","CommonPrefix",1300,0.14291,1251665
"A1m MergeSort (Adapted)","Random",1400,1.32533,996905
"A1q TernaryQuickSort (Adapted)","Random",1400,0.04373,15544
"A1r MSD RadixSort (Adapted)","Random",1400,0.26684,3029
"A1rq MSD+QuickSort (Adapted)","Random",1400,0.13263,6737
"Standard MergeSort","Random",1400,1.31250,996905
"Standard QuickSort","Random",1400,0.16036,1223688
"A1m MergeSort (Adapted)","ReverseSorted",1400,1.28309,500082
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1400,0.09840,70866
"A1r MSD RadixSort (Adapted)","ReverseSorted",1400,0.33195,2992
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1400,0.14031,12979
"Standard MergeSort","ReverseSorted",1400,1.25256,500082
"Standard QuickSort","ReverseSorted",1400,4.08790,73036402
"A1m MergeSort (Adapted)","AlmostSorted",1400,1.24358,871027
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1400,0.04883,32526
"A1r MSD RadixSort (Adapted)","AlmostSorted",1400,0.19133,2983
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1400,0.10898,7526
"Standard MergeSort","AlmostSorted",1400,1.20429,871027
"Standard QuickSort","AlmostSorted",1400,0.40478,6120007
"A1m MergeSort (Adapted)","CommonPrefix",1400,1.34084,1016412
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1400,0.03897,23270
"A1r MSD RadixSort (Adapted)","CommonPrefix",1400,0.39282,10032
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1400,0.33885,13676
"Standard MergeSort","CommonPrefix",1400,1.32748,1016412
"Standard QuickSort","CommonPrefix",1400,0.15950,1264225
"A1m MergeSort (Adapted)","Random",1500,1.42522,1047798
"A1q TernaryQuickSort (Adapted)","Random",1500,0.04225,15691
"A1r MSD RadixSort (Adapted)","Random",1500,0.31908,3263
"A1rq MSD+QuickSort (Adapted)","Random",1500,0.15262,7481
"Standard MergeSort","Random",1500,1.47031,1047798
"Standard QuickSort","Random",1500,0.18726,1421592
"A1m MergeSort (Adapted)","ReverseSorted",1500,1.35502,509587
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1500,0.11470,78931
"A1r MSD RadixSort (Adapted)","ReverseSorted",1500,0.32414,3254
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1500,0.15468,14546
"Standard MergeSort","ReverseSorted",1500,1.36662,509587
"Standard QuickSort","ReverseSorted",1500,4.81865,83840602
"A1m MergeSort (Adapted)","AlmostSorted",1500,1.42898,946863
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1500,0.06869,41045
"A1r MSD RadixSort (Adapted)","AlmostSorted",1500,0.23121,3240
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1500,0.12409,8387
"Standard MergeSort","AlmostSorted",1500,1.37390,946863
"Standard QuickSort","AlmostSorted",1500,0.26336,3003347
"A1m MergeSort (Adapted)","CommonPrefix",1500,1.44792,1064448
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1500,0.05081,23712
"A1r MSD RadixSort (Adapted)","CommonPrefix",1500,0.49258,10748
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1500,0.31026,14993
"Standard MergeSort","CommonPrefix",1500,1.44709,1064448
"Standard QuickSort","CommonPrefix",1500,0.17476,1160754
"A1m MergeSort (Adapted)","Random",1600,1.59734,1093201
"A1q TernaryQuickSort (Adapted)","Random",1600,0.04437,17457
"A1r MSD RadixSort (Adapted)","Random",1600,0.31142,3544
